class,label,gloss
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_shed,shed,"A shed is a simple, single-storey structure in a back garden or on an allotment that is used for storage, hobbies, or as a workshop."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_carport,carport,"A carport is a covered structure used to offer limited protection to vehicles, primarily cars, from the elements. Unlike most structures a carport does not have four walls, and usually has one or two."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_garage,garage,A garage is a building suitable for the storage of one or possibly more motor vehicle or similar.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_garages,garages,A building that consists of a number of discrete storage spaces for different owners/tenants. 
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_parking,parking,Structure purpose-built for parking cars.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_parking,car park,Structure purpose-built for parking cars.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_digester,digester,A digester is a bioreactor for the production of inflatable biogas from biomass.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_service,service,Service building usually is a small unmanned building with certain machinery (like pumps or transformers).
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_transformer_tower,transformer tower,A transformer tower is a characteristic tall building comprising a distribution transformer and constructed to connect directly to a medium voltage overhead power line. 
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_water_tower,water tower,A water tower
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_military,military,A military building. 
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_bunker,bunker,A hardened military building. 
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_bridge,bridge,A building used as a bridge. 
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_construction,construction,Used for buildings under construction. 
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_container,container,"For a container used as a permanent building. Do not map containers placed temporarily, for example used in shipping or contraction."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_marquee,marquee,For a tent or easily demountable tent-like building.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_gatehouse,gatehouse,"An entry control point building, spanning over a highway that enters a city or compound."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_roof,roof,"A structure that consists of a roof with open sides, such as a rain shelter, and also gas stations"
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_ruins,ruins,"Frequently used for a house or other building that is abandoned and in poor repair. However, some believe this usage is incorrect, and the tag should only be used for buildings constructed as fake ruins (for example sham ruins in an English landscape garden). See also lifecycle tagging."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_building_tree_house,tree house,"An accommodation, often designed as a small hut, sometimes also as a room or small apartment. Built on tree posts or on a natural tree. A tree house has no contact with the ground. Access via ladders, stairs or bridgeways."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_alpine_hut,alpine hut,"Alpine hut or a mountain hut is a remote building positioned in the mountains designed to provided lodging accommodation for mountaineers, climbers and hikers. The access is usually restricted to foot, mountain bike or ski. Typically, these are operated by an Alpine Club or a similar organisation."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_apartment,apartment,A holiday or vacation apartment is a furnished apartment or flat with cooking and bathroom facilities that can be rented for holiday vacations. This tag can be applied to a building accommodating one or more holiday flats. 
http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_aquarium,aquarium,"An aquarium, meant as Public aquarium is the aquatic counterpart of a zoo with living aquatic animals for public viewing."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_artwork,artwork place,"Artwork is used to tag public pieces of art. Typically, these are outdoors."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_attraction,tourist attraction,Attraction or tourist attraction is a general place of interest for visitors. Typically used for its natural or historical significance. 
http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_attraction,point of interest,Attraction or tourist attraction is a general place of interest for visitors. Typically used for its natural or historical significance. 
http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_camp_pitch,camp pitch,camp pitch is the free space used to place a tent or or caravan within a camp site or caravan site area.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_camp_site,camp site,"Campsite, camp ground or camping pitch is an area where people can temporarily use a shelter, such as a tent, camper van or sometimes a caravan. Typically, the area is spilt into ""pitches"" or ""sites""."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_tourism_caravan_site,caravan site,"Caravan site, caravan park or RV park is an area where people with caravans, motorhomes, recreational vehicles can stay overnight, or longer, in allotted spaces known as ""pitches"" or ""sites"". They usually provide facilities including toilets, waste disposal, water supply, power supply etc."
